,Word,Freq,Prob
155,agued,3.70433e-09,3.70433e-07
156,agues,6.46158e-08,6.46158e-06
157,aguna,3.76662e-09,3.7666200000000004e-07
158,aguti,4.5891e-09,4.5891e-07
159,aheap,4.13065e-09,4.13065e-07
160,ahent,6.40078e-10,6.40078e-08
161,ahigh,1.50221e-08,1.5022099999999998e-06
162,ahind,2.46471e-09,2.46471e-07
163,ahing,2.59919e-09,2.59919e-07
164,ahint,1.38069e-08,1.3806900000000001e-06
165,ahold,1.07659e-07,1.07659e-05
166,ahull,9.6739e-09,9.6739e-07
167,ahuru,7.59586e-10,7.59586e-08
168,aidas,8.42671e-10,8.42671e-08
169,aided,8.38986e-06,0.000838986
170,aides,1.99839e-06,0.000199839
171,aidoi,1.47819e-10,1.4781900000000001e-08
172,aidos,8.55307e-09,8.55307e-07
173,aiery,3.20425e-09,3.20425e-07
174,aigas,3.75337e-10,3.75337e-08
175,aight,1.62032e-08,1.62032e-06
176,ailed,1.63065e-07,1.63065e-05
177,aimed,1.56825e-05,0.0015682500000000002
178,aimer,6.73773e-08,6.7377299999999994e-06
179,ainee,1.93071e-09,1.93071e-07
180,ainga,7.32836e-10,7.32836e-08
181,aioli,2.59961e-08,2.59961e-06
182,aired,1.06146e-06,0.00010614600000000001
183,airer,5.24995e-09,5.249949999999999e-07
184,airns,4.88129e-09,4.88129e-07
185,airth,2.00264e-08,2.00264e-06
186,airts,6.36492e-09,6.364920000000001e-07
187,aitch,1.42454e-08,1.42454e-06
188,aitus,7.75499e-10,7.75499e-08
189,aiver,4.76104e-09,4.76104e-07
190,aiyee,5.34627e-10,5.3462700000000004e-08
191,aizle,2.48556e-10,2.48556e-08
192,ajies,3.09141e-10,3.09141e-08
193,ajiva,4.25688e-09,4.2568800000000005e-07
194,ajuga,3.5082e-09,3.5082e-07
195,ajwan,7.97004e-10,7.97004e-08
196,akees,5.69951e-10,5.69951e-08
197,akela,7.70506e-10,7.70506e-08
198,akene,1.13207e-08,1.13207e-06
199,aking,1.4203e-07,1.4203000000000001e-05
200,akita,1.74069e-09,1.74069e-07
201,akkas,3.11059e-10,3.11059e-08
202,alaap,1.69943e-09,1.69943e-07
203,alack,7.44403e-08,7.44403e-06
204,alamo,5.6609e-09,5.6609e-07
205,aland,3.41191e-08,3.41191e-06
206,alane,2.29087e-08,2.29087e-06
207,alang,5.22953e-08,5.22953e-06
208,alans,1.08647e-09,1.0864700000000001e-07
209,alant,2.18528e-09,2.18528e-07
210,alapa,5.72235e-09,5.72235e-07
211,alaps,6.17101e-10,6.17101e-08
212,alary,3.08139e-08,3.08139e-06
213,alate,8.72921e-08,8.72921e-06
214,alays,2.38372e-09,2.38372e-07
215,albas,6.0148e-09,6.014800000000001e-07
216,albee,1.88673e-09,1.88673e-07
217,alcid,3.62394e-09,3.62394e-07
218,alcos,4.36445e-10,4.36445e-08
219,aldea,1.41912e-08,1.41912e-06
220,alder,6.84157e-07,6.84157e-05
221,aldol,1.35061e-07,1.35061e-05
222,aleck,4.29044e-08,4.29044e-06
223,alecs,2.2671e-09,2.2671000000000002e-07
224,alefs,5.10379e-10,5.1037900000000005e-08
225,aleft,1.54485e-09,1.5448500000000002e-07
226,aleph,4.77221e-08,4.7722100000000005e-06
227,alews,9.38272e-11,9.38272e-09
228,aleye,3.30455e-10,3.30455e-08
229,alfas,7.32005e-10,7.32005e-08
230,algal,1.39751e-06,0.000139751
231,algas,6.13517e-09,6.13517e-07
232,algid,1.24083e-08,1.24083e-06
233,algin,2.24791e-08,2.24791e-06
234,algor,4.699e-09,4.6989999999999994e-07
235,algum,1.35563e-08,1.35563e-06
236,alias,2.11525e-06,0.00021152500000000003
237,alifs,8.77489e-10,8.774890000000001e-08
238,aline,7.4598e-08,7.4598e-06
239,alist,3.47816e-08,3.4781599999999997e-06
240,aliya,2.94036e-08,2.94036e-06
241,alkie,3.52864e-09,3.52864e-07
242,alkos,9.32585e-11,9.32585e-09
243,alkyd,2.04352e-07,2.04352e-05
244,alkyl,2.33045e-06,0.00023304499999999998
245,allee,2.53064e-08,2.5306400000000002e-06
246,allel,3.3035e-08,3.3035e-06
247,allis,1.7879e-08,1.7879e-06
248,allod,4.52302e-09,4.52302e-07
249,allyl,4.35075e-07,4.35075e-05
250,almah,6.59503e-09,6.59503e-07
251,almas,1.63702e-08,1.63702e-06
252,almeh,8.58316e-10,8.58316e-08
253,almes,2.94351e-08,2.94351e-06
254,almud,4.28575e-09,4.28575e-07
255,almug,8.53107e-09,8.531069999999999e-07
256,alods,1.42448e-09,1.42448e-07
257,aloed,3.97293e-10,3.97293e-08
258,aloes,3.02102e-07,3.0210199999999997e-05
259,aloha,5.23213e-08,5.23213e-06
260,aloin,2.90128e-08,2.90128e-06
261,aloos,6.84176e-10,6.84176e-08
262,alowe,4.43734e-09,4.43734e-07
263,altho,5.72882e-07,5.72882e-05
264,altos,5.88859e-08,5.88859e-06
265,alula,2.41075e-08,2.4107499999999997e-06
266,alums,6.97139e-08,6.971390000000001e-06
267,alure,2.94145e-09,2.94145e-07
268,alvar,9.80232e-09,9.80232e-07
269,alway,3.25632e-07,3.25632e-05
270,amahs,9.67027e-09,9.67027e-07
271,amain,1.14944e-07,1.14944e-05
272,amate,1.57126e-08,1.57126e-06
273,amaut,1.54105e-09,1.54105e-07
274,amban,7.57324e-09,7.57324e-07
275,ambit,5.82112e-07,5.82112e-05
276,ambos,2.57905e-08,2.57905e-06
277,ambry,5.43093e-09,5.43093e-07
278,ameba,7.74298e-08,7.74298e-06
279,ameer,8.80056e-09,8.800559999999999e-07
280,amene,7.87543e-09,7.875430000000001e-07
281,amens,2.3527e-08,2.3527e-06
282,ament,5.83034e-08,5.83034e-06
283,amias,7.16629e-10,7.16629e-08
284,amice,3.48305e-08,3.48305e-06
285,amici,2.31445e-07,2.31445e-05
286,amide,9.46324e-07,9.46324e-05
287,amido,1.32063e-07,1.3206300000000001e-05
288,amids,1.08035e-08,1.08035e-06
289,amies,2.66197e-08,2.66197e-06
290,amiga,2.14596e-08,2.14596e-06
291,amigo,1.29056e-07,1.2905599999999999e-05
292,amine,1.7676e-06,0.00017676
293,amino,1.22338e-05,0.00122338
294,amins,1.04921e-08,1.04921e-06
295,amirs,6.65516e-08,6.655160000000001e-06
296,amlas,2.54614e-09,2.5461400000000003e-07
297,amman,5.73106e-09,5.73106e-07
298,ammon,4.25193e-08,4.25193e-06
299,ammos,1.80215e-09,1.80215e-07
300,amnia,1.53423e-09,1.53423e-07
301,amnic,2.00214e-10,2.00214e-08
302,amnio,1.06758e-08,1.06758e-06
303,amoks,6.77313e-10,6.77313e-08
304,amole,7.76237e-09,7.76237e-07
305,amort,8.42046e-08,8.420459999999999e-06
306,amour,5.44212e-07,5.44212e-05
307,amove,1.13406e-08,1.13406e-06
308,amowt,2.40062e-10,2.40062e-08
309,amped,2.99476e-08,2.9947600000000003e-06
310,ampul,3.14715e-08,3.14715e-06
311,amrit,1.0372e-08,1.0372e-06
312,amuck,8.29372e-08,8.29372e-06
313,amyls,7.95222e-10,7.95222e-08
314,anana,5.80812e-09,5.80812e-07
315,anata,1.06481e-08,1.06481e-06
316,ancho,3.15642e-08,3.15642e-06
317,ancle,5.03067e-08,5.0306699999999996e-06
318,ancon,3.71212e-09,3.71212e-07
319,andro,1.78043e-08,1.7804300000000001e-06
320,anear,2.26611e-08,2.26611e-06
321,anele,1.46181e-09,1.46181e-07
322,anent,2.8922e-07,2.8922e-05
323,angas,9.2484e-09,9.2484e-07
324,anglo,8.23992e-08,8.23992e-06
325,anigh,2.44196e-08,2.4419600000000002e-06
326,anile,8.99884e-09,8.99884e-07
327,anils,1.00117e-08,1.0011699999999999e-06
328,anima,4.7407e-07,4.7407e-05
329,animi,1.23921e-07,1.23921e-05
330,anion,2.0902e-06,0.00020902
331,anise,2.64646e-07,2.6464600000000004e-05
332,anker,3.63811e-08,3.63811e-06
333,ankhs,2.80334e-09,2.80334e-07
334,ankus,5.20301e-09,5.20301e-07
335,anlas,5.18108e-10,5.1810799999999996e-08
336,annal,3.7375e-08,3.7375000000000002e-06
337,annas,4.68008e-07,4.68008e-05
338,annat,6.17674e-09,6.176740000000001e-07
339,anoas,9.25374e-10,9.25374e-08
340,anole,1.64043e-08,1.64043e-06
341,anomy,1.26678e-08,1.26678e-06
342,ansae,8.9948e-09,8.9948e-07
343,antae,2.23216e-08,2.23216e-06
344,antar,8.87261e-09,8.872609999999999e-07
345,antas,3.56886e-09,3.56886e-07
346,anted,8.87526e-08,8.87526e-06
347,antes,1.43127e-07,1.4312700000000001e-05
348,antis,5.58342e-08,5.58342e-06
349,antra,3.30005e-08,3.30005e-06
350,antre,7.26004e-09,7.26004e-07
351,antsy,8.5253e-08,8.5253e-06
352,anura,4.88277e-09,4.88277e-07
353,anyon,1.76767e-08,1.76767e-06
354,apace,7.166e-07,7.166e-05
355,apage,3.50255e-09,3.50255e-07
356,apaid,3.66149e-09,3.66149e-07
357,apayd,2.50694e-09,2.50694e-07
358,apays,1.10805e-10,1.10805e-08
359,apeak,2.13883e-08,2.1388299999999997e-06
360,apeek,3.20212e-10,3.20212e-08
361,apers,6.36085e-08,6.360849999999999e-06
362,apert,1.37835e-08,1.3783500000000001e-06
363,apery,3.94835e-09,3.94835e-07
364,apgar,5.42805e-09,5.42805e-07
365,aphis,3.05933e-07,3.0593300000000004e-05
366,apian,1.10157e-08,1.10157e-06
367,apiol,9.64544e-09,9.64544e-07
368,apish,3.17904e-08,3.17904e-06
369,apism,2.67015e-10,2.67015e-08
370,apode,5.53223e-10,5.53223e-08
371,apods,4.5104e-10,4.5104e-08
372,apoop,1.472e-10,1.4719999999999999e-08
373,aport,1.36564e-08,1.36564e-06
374,appal,8.31387e-08,8.31387e-06
375,appay,6.31343e-10,6.31343e-08
376,appel,1.62135e-07,1.62135e-05
377,appro,5.00517e-07,5.0051699999999994e-05
378,appui,5.08241e-08,5.08241e-06
379,appuy,1.43747e-09,1.43747e-07
380,apres,2.63211e-07,2.63211e-05
381,apses,8.62478e-08,8.62478e-06
382,apsis,2.38357e-08,2.38357e-06
383,apsos,1.23628e-09,1.23628e-07
384,apted,1.03984e-08,1.03984e-06
385,apter,5.44352e-08,5.44352e-06
386,aquae,7.97581e-08,7.97581e-06
387,aquas,2.42556e-08,2.42556e-06
388,araba,1.26317e-08,1.26317e-06
389,araks,2.79743e-10,2.79743e-08
390,arame,6.4116e-09,6.4116e-07
391,arars,6.97744e-10,6.977440000000001e-08
392,arbas,1.49145e-09,1.49145e-07
393,arced,1.04031e-07,1.04031e-05
394,archi,1.19766e-07,1.1976599999999998e-05
395,arcos,4.28376e-09,4.28376e-07
396,arcus,7.51423e-08,7.51423e-06
397,ardeb,5.65725e-09,5.65725e-07
398,ardri,8.56056e-10,8.56056e-08
399,aread,5.96395e-09,5.96395e-07
400,areae,1.98703e-08,1.98703e-06
401,areal,8.4839e-07,8.4839e-05
402,arear,5.96004e-09,5.96004e-07
403,areas,0.00016484,0.016484
404,areca,1.01996e-07,1.01996e-05
405,aredd,4.50759e-10,4.50759e-08
406,arede,1.89526e-09,1.89526e-07
407,arefy,3.48284e-10,3.48284e-08
408,areic,9.9191e-10,9.919099999999999e-08
409,arene,1.04495e-07,1.04495e-05
410,arepa,3.61478e-09,3.61478e-07
411,arere,4.4709e-09,4.4709e-07
412,arete,8.37693e-08,8.37693e-06
413,arets,4.04233e-09,4.04233e-07
414,arett,7.16036e-10,7.16036e-08
415,argal,6.15256e-09,6.15256e-07
416,argan,1.28203e-08,1.28203e-06
417,argil,2.01398e-08,2.01398e-06
418,argle,2.58366e-09,2.58366e-07
419,argol,1.8321e-08,1.8321e-06
420,argon,2.02866e-06,0.00020286599999999998
421,argot,1.13775e-07,1.1377499999999999e-05
422,argus,7.34101e-08,7.3410099999999995e-06
423,arhat,2.95646e-08,2.9564599999999997e-06
424,arias,3.35209e-07,3.35209e-05
425,ariel,1.50172e-08,1.5017199999999999e-06
426,ariki,2.50042e-08,2.50042e-06
427,arils,1.54459e-08,1.54459e-06
428,ariot,9.75962e-10,9.759620000000001e-08
429,arish,3.46896e-08,3.46896e-06
430,arked,1.07616e-08,1.0761600000000001e-06
431,arled,5.9537e-10,5.9537e-08
432,arles,2.46702e-08,2.46702e-06
433,armed,2.50337e-05,0.00250337
434,armer,3.30791e-08,3.30791e-06
435,armet,4.24421e-09,4.2442099999999996e-07
436,armil,1.03004e-09,1.0300400000000001e-07
437,arnas,9.92527e-10,9.925269999999999e-08
438,arnut,2.05422e-10,2.05422e-08
439,aroba,1.38941e-09,1.38941e-07
440,aroha,1.05778e-08,1.05778e-06
441,aroid,1.22306e-08,1.22306e-06
442,arpas,8.90945e-10,8.909449999999999e-08
443,arpen,1.19734e-09,1.1973399999999998e-07
444,arrah,4.79375e-09,4.793750000000001e-07
445,arras,1.49697e-07,1.49697e-05
446,arret,3.50788e-08,3.50788e-06
447,arris,5.17604e-08,5.1760399999999995e-06
448,arroz,3.17976e-08,3.17976e-06
449,arsed,3.03916e-08,3.0391600000000002e-06
450,arses,4.67474e-08,4.67474e-06
451,arsey,1.8062e-09,1.8062e-07
452,arsis,2.74732e-08,2.74732e-06
453,artal,6.22062e-10,6.22062e-08
454,artel,3.64371e-08,3.6437100000000002e-06
455,artic,6.25466e-08,6.25466e-06
456,artis,9.23114e-08,9.23114e-06
457,aruhe,1.67089e-09,1.67089e-07
458,arums,1.0453e-08,1.0453e-06
459,arval,3.00023e-09,3.00023e-07
460,arvee,1.47927e-10,1.47927e-08
461,arvos,2.50885e-10,2.50885e-08
462,aryls,7.5898e-09,7.589799999999999e-07
463,asana,5.59349e-08,5.59349e-06
464,ascon,1.74507e-09,1.7450700000000002e-07
465,ascus,1.24269e-07,1.2426900000000001e-05
466,asdic,1.78175e-08,1.7817500000000001e-06
467,ashed,1.04057e-07,1.0405700000000001e-05
468,ashes,6.10929e-06,0.0006109290000000001
469,ashet,1.71358e-09,1.71358e-07
470,asked,0.000165521,0.0165521
471,asker,2.89242e-08,2.8924199999999997e-06
472,askoi,3.85248e-09,3.8524800000000004e-07
473,askos,8.75488e-09,8.754879999999999e-07
474,aspen,9.61919e-07,9.61919e-05
475,asper,8.19449e-08,8.19449e-06
476,aspic,7.91507e-08,7.91507e-06
477,aspie,3.70957e-09,3.70957e-07
478,aspis,1.53821e-08,1.53821e-06
479,aspro,6.26084e-09,6.26084e-07
480,assai,5.05464e-08,5.05464e-06
481,assam,3.79832e-09,3.79832e-07
482,asses,1.10694e-06,0.000110694
483,assez,1.14192e-07,1.1419199999999999e-05
484,assot,1.92532e-09,1.9253200000000002e-07
485,aster,8.12002e-07,8.12002e-05
486,astir,1.91595e-07,1.91595e-05
487,astun,2.69635e-10,2.6963500000000002e-08
488,asura,3.16491e-08,3.16491e-06
489,asway,1.62247e-09,1.62247e-07
490,aswim,2.86633e-09,2.86633e-07
491,asyla,1.86863e-09,1.86863e-07
492,ataps,1.06017e-09,1.06017e-07
493,ataxy,4.43101e-08,4.43101e-06
494,atigi,7.79791e-10,7.797909999999999e-08
495,atilt,6.2407e-09,6.2407e-07
496,atimy,3.8243e-10,3.8243e-08
497,atlas,1.57766e-06,0.000157766
498,atman,1.0883e-07,1.0883e-05
499,atmas,6.38464e-10,6.38464e-08
500,atmos,1.43165e-07,1.43165e-05
501,atocs,1.50459e-10,1.5045900000000002e-08
502,atoke,9.01303e-10,9.01303e-08
503,atoks,1.26292e-10,1.2629200000000001e-08
504,atoms,1.59438e-05,0.00159438
505,atomy,1.31015e-08,1.31015e-06
506,atony,1.36951e-07,1.3695099999999999e-05
507,atopy,8.68007e-08,8.68007e-06
508,atria,3.35729e-07,3.35729e-05
509,atrip,1.24321e-08,1.24321e-06
510,attap,1.11772e-08,1.11772e-06
511,attar,6.81541e-08,6.81541e-06
512,atuas,1.49707e-09,1.49707e-07
513,audad,3.27565e-10,3.27565e-08
514,auger,6.39929e-07,6.39929e-05
515,aught,1.63433e-06,0.000163433
516,aulas,4.67671e-09,4.67671e-07
517,aulic,1.44148e-08,1.44148e-06
518,auloi,4.70537e-09,4.7053700000000005e-07
519,aulos,2.75321e-08,2.75321e-06
520,aumil,2.64181e-09,2.64181e-07
521,aunes,3.39073e-09,3.39073e-07
522,aunts,1.06054e-06,0.00010605400000000001
523,aurae,8.62063e-09,8.620629999999999e-07
524,aural,8.50718e-07,8.50718e-05
525,aurar,3.48976e-09,3.4897600000000004e-07
526,auras,1.36634e-07,1.36634e-05
527,aurei,3.62407e-08,3.6240699999999998e-06
528,aures,2.97627e-08,2.9762700000000002e-06
529,auric,5.63027e-08,5.6302700000000006e-06
530,auris,2.8884e-08,2.8883999999999997e-06
531,aurum,5.34807e-08,5.34807e-06
532,autos,6.5109e-07,6.5109e-05
533,auxin,5.19653e-07,5.1965299999999995e-05
534,avale,4.58591e-09,4.58591e-07
535,avant,1.60084e-06,0.000160084
536,avast,2.63075e-08,2.6307499999999998e-06
537,avels,2.08372e-09,2.0837199999999998e-07
538,avens,1.9715e-08,1.9715e-06
539,avers,8.11264e-07,8.11264e-05
540,avgas,1.54345e-08,1.5434499999999998e-06
541,avine,3.10146e-09,3.10146e-07
542,avion,2.13376e-08,2.13376e-06
543,avise,1.27255e-08,1.27255e-06
544,aviso,1.32277e-08,1.3227699999999999e-06
545,avize,1.90903e-09,1.90903e-07
546,avows,1.5769e-07,1.5769e-05
547,avyze,-1.0,-100.0
548,awarn,1.90315e-10,1.90315e-08
549,awato,2.28823e-10,2.28823e-08
550,awave,3.00005e-09,3.00005e-07
551,aways,9.52018e-08,9.52018e-06
552,awdls,-1.0,-100.0
553,aweel,4.76942e-09,4.76942e-07
554,aweto,5.79393e-10,5.79393e-08
555,awing,3.69088e-08,3.69088e-06
556,awmry,5.59976e-10,5.59976e-08
557,awned,1.53885e-07,1.53885e-05
558,awner,2.74619e-09,2.74619e-07
559,awols,2.60285e-10,2.60285e-08
560,awork,1.23769e-08,1.23769e-06
561,axels,4.69046e-09,4.6904600000000003e-07
562,axile,4.48759e-08,4.48759e-06
563,axils,4.16991e-07,4.16991e-05
564,axing,2.73846e-08,2.7384600000000003e-06
565,axite,7.8327e-10,7.8327e-08
566,axled,1.51947e-08,1.5194699999999998e-06
567,axles,1.41945e-06,0.000141945
568,axman,9.67396e-09,9.67396e-07
569,axmen,1.20754e-08,1.2075400000000001e-06
570,axoid,3.33277e-09,3.33277e-07
571,axone,1.973e-08,1.973e-06
572,axons,1.19801e-06,0.000119801
573,ayahs,1.23412e-08,1.23412e-06
574,ayaya,6.28316e-10,6.283160000000001e-08
575,ayelp,1.31691e-10,1.3169099999999999e-08
576,aygre,2.152e-10,2.152e-08
577,ayins,4.20389e-10,4.2038900000000005e-08
578,ayont,1.09665e-08,1.09665e-06
579,ayres,1.5614e-08,1.5614e-06
580,ayrie,3.39841e-09,3.39841e-07
581,azans,3.08296e-10,3.08296e-08
582,azide,3.84705e-07,3.84705e-05
583,azido,6.43443e-08,6.43443e-06
584,azine,5.24867e-08,5.24867e-06
585,azlon,1.10722e-09,1.10722e-07
586,azoic,2.96472e-08,2.9647200000000003e-06
587,azole,5.15029e-08,5.150290000000001e-06
588,azons,3.80243e-10,3.80243e-08
589,azote,9.94319e-08,9.94319e-06
590,azoth,1.25062e-09,1.2506199999999999e-07
591,azuki,1.30918e-08,1.30918e-06
592,azurn,7.69036e-10,7.69036e-08
593,azury,4.47427e-10,4.47427e-08
594,azygy,-1.0,-100.0
595,azyme,1.11217e-09,1.1121700000000001e-07
596,azyms,6.86003e-10,6.860030000000001e-08
597,baaed,8.04581e-08,8.045809999999999e-06
598,baals,4.72377e-09,4.72377e-07
599,babas,1.2519e-08,1.2519e-06
600,babel,9.73062e-08,9.73062e-06
601,babes,6.5407e-07,6.5407e-05
602,babka,5.34765e-09,5.34765e-07
603,baboo,7.22676e-09,7.226760000000001e-07
604,babul,2.15449e-08,2.15449e-06
605,babus,1.29889e-08,1.29889e-06
606,bacca,1.6888e-08,1.6887999999999998e-06
607,bacco,5.09743e-08,5.09743e-06
608,baccy,2.50745e-08,2.50745e-06
609,bacha,4.71858e-09,4.71858e-07
610,bachs,7.29307e-10,7.29307e-08
611,backs,5.99925e-06,0.0005999250000000001
612,baddy,4.50805e-09,4.50805e-07
613,baels,2.91775e-10,2.91775e-08
614,baffs,2.30609e-10,2.3060900000000002e-08
615,baffy,1.29005e-09,1.2900499999999998e-07
616,bafts,1.97208e-09,1.97208e-07
617,baghs,1.04349e-09,1.04349e-07
618,bagie,3.18011e-10,3.18011e-08
619,bahts,1.50369e-08,1.5036899999999998e-06
620,bahus,1.96185e-09,1.9618499999999998e-07
621,bahut,8.0222e-09,8.022199999999999e-07
622,bails,8.5377e-08,8.5377e-06
623,bairn,1.71967e-07,1.71967e-05
624,baisa,2.26821e-09,2.26821e-07
625,baith,1.15336e-07,1.1533599999999999e-05
626,baits,5.09548e-07,5.09548e-05
